Year,Month,PostFire_realistic,PreFire_base,HistAvgFlow
1999,10,0.748897507,0.749,3.61
1999,11,0.6562697,0.646,5.15
1999,12,2.390630023,2.206,4.55
2000,1,27.46310333,26.527,16.68
2000,2,96.51527724,95.857,38.19
2000,3,63.24991045,63.082,24.41
2000,4,47.13771028,45.099,20.8
2000,5,20.60320842,21.804,14.5
2000,6,8.091093747,8.274,6.07
2000,7,4.386114827,4.345,3.99
2000,8,2.645713059,2.566,3.61
2000,9,1.700534104,1.621,3.25
2000,10,1.261931387,1.171,4.02
2000,11,1.16628984,0.842,3.65
2000,12,1.878479322,0.891,4.83
2001,1,8.118790975,5.424,5.66
2001,2,27.55953289,25.749,8.76
2001,3,48.27268385,47.176,14.4
2001,4,36.70245015,35.088,10.34
2001,5,24.91355717,25.829,9.16
2001,6,7.680538477,7.732,3.23
2001,7,4.107537302,4.032,2.58
2001,8,2.497595615,2.404,2.39
2001,9,1.618814136,1.53,2.63
2001,10,1.191914888,1.103,2.33
2001,11,3.580793764,1.46,6.04
2001,12,40.21252695,35.872,14.23
2002,1,64.76260539,63.774,19.99
2002,2,26.36869789,26.356,10.96
2002,3,36.2457231,36.124,14.2
2002,4,34.89045585,33.239,15.23
2002,5,19.69293556,19.874,10.25
2002,6,7.91837276,8.139,4.74
2002,7,4.326780294,4.275,2.82
2002,8,2.609727084,2.517,2.9
2002,9,1.68025004,1.589,2.56
2002,10,1.224077526,1.137,1.92
2002,11,1.265404471,0.875,4.76
2002,12,61.87791979,54.757,24.78
2003,1,94.68769778,94.712,29.75
2003,2,36.15159922,36.291,13.65
2003,3,41.89160956,41.728,18.88
2003,4,48.54189276,48.091,18.86
2003,5,59.56366876,58.475,25.03
2003,6,14.3230291,14.645,10.12
2003,7,5.929746593,5.897,4.06
2003,8,3.281436018,3.186,4.49
2003,9,2.031733446,1.936,3.31
2003,10,1.447114655,1.354,2.73
2003,11,1.136374491,0.981,3.67
2003,12,18.10619652,13.327,14.87
2004,1,42.38966356,40.386,12.94
2004,2,67.76038556,67.269,30.1
2004,3,55.10695372,54.319,22.73
2004,4,29.54926811,28.128,15.53
2004,5,12.45193375,13.286,12.07
2004,6,5.511311195,5.667,5.62
2004,7,3.340682991,3.324,3.25
2004,8,2.115817454,2.058,3.57
2004,9,1.396156417,1.335,2.97
2004,10,1.336967825,1.041,4.55
2004,11,2.741529713,1.152,3.7
2004,12,14.7559698,10.92,8.63
2005,1,46.71944999,45.242,11.58
2005,2,34.19971784,34.21,13.05
2005,3,44.03054209,43.641,26.49
2005,4,47.91848617,47.224,19.65
2005,5,47.58930064,47.655,33.28
2005,6,19.69964827,19.923,11.56
2005,7,9.13226447,9.088,5.04
2005,8,4.599812541,4.468,4.1
2005,9,2.683158311,2.55,3.89
2005,10,1.867709806,1.726,3.1
2005,11,2.769985773,1.789,5.21
2005,12,103.1126176,98.011,49.98
2006,1,91.36502238,91.549,40.54
2006,2,44.26078809,44.275,27.28
2006,3,72.72055396,72.335,37.25
2006,4,93.4770165,92.533,50.07
2006,5,65.32437177,62.468,35.31
2006,6,17.81810445,19.401,12.2
2006,7,6.388808503,6.562,6.9
2006,8,3.414902229,3.377,4.89
2006,9,2.081611809,2.013,3.67
2006,10,1.470959371,1.396,3.57
2006,11,1.071348746,0.969,5.04
2006,12,8.894955533,5.595,11.19
2007,1,17.64730973,15.127,7.39
2007,2,43.0529962,41.695,17.88
2007,3,35.22644165,34.468,13.93
2007,4,19.40840416,19.675,9.4
2007,5,14.58155604,14.705,6.88
2007,6,7.021904747,6.955,3.25
2007,7,4.08115343,3.959,3.4
2007,8,2.525351224,2.391,3.1
2007,9,1.669918302,1.54,3.18
2007,10,1.287322947,1.127,3.33
2007,11,1.110019817,0.825,2.67
2007,12,2.551238945,1.166,4.46
2008,1,33.720547,30.357,9.23
2008,2,36.61676093,35.876,9.85
2008,3,32.80399921,32.189,13.39
2008,4,28.27449503,26.258,10.98
2008,5,17.94281495,18.898,12.79
2008,6,5.991766213,6.245,4.31
2008,7,3.370977747,3.374,2.67
2008,8,2.091184721,2.046,2.41
2008,9,1.371903106,1.321,2.09
2008,10,1.09317966,0.987,2.39
2008,11,1.635012196,0.842,4.4
2008,12,2.4161967,0.977,4.25
2009,1,8.120892347,5.574,6.56
2009,2,55.52495134,53.003,19.27
2009,3,77.17429205,76.879,27.75
2009,4,32.39662518,30.809,12.24
2009,5,40.30180601,40.188,18.28
2009,6,10.40800068,10.586,5.19
2009,7,5.239388011,5.201,2.54
2009,8,3.008783185,2.922,3.01
2009,9,1.900923128,1.803,2.43
2009,10,1.511469142,1.356,3.44
2009,11,1.265842274,0.907,2.56
2009,12,3.130837799,1.357,4.04
2010,1,46.88329852,43.104,13.37
2010,2,47.99124613,47.53,12.67
2010,3,43.06504989,42.974,17.45
2010,4,44.70639539,44.376,20.61
2010,5,48.27139968,46.971,20.42
2010,6,22.08709706,22.354,16.36
2010,7,7.668192928,7.688,5.34
2010,8,3.961462869,3.869,3.5
2010,9,2.369353646,2.266,3.16
2010,10,2.710330203,2.342,4.98
2010,11,6.28706714,3.329,5.25
2010,12,76.13776186,73.157,29.07
2011,1,41.76774544,41.746,14.31
2011,2,26.47414583,26.633,14.82
2011,3,70.08680704,70.049,41.67
2011,4,59.90633808,58.285,36.23
2011,5,61.72571636,60.063,29.05
2011,6,44.08879675,44.417,26.55
2011,7,13.44772071,14.37,10.62
2011,8,5.660333387,5.644,5.62
2011,9,3.124446123,3.031,4.08
2011,10,2.414649848,2.136,4.49
2011,11,1.989180688,1.525,4.29
2011,12,2.135838837,1.503,3.25
2012,1,6.466121417,4.962,7.33
2012,2,14.1560577,12.765,6.32
2012,3,69.57766246,68.705,26.1
2012,4,57.69020938,56.715,21.36
2012,5,33.58424976,33.712,12.11
2012,6,9.11081298,9.222,4.44
2012,7,4.660022642,4.609,3.37
2012,8,2.743893759,2.662,3.27
2012,9,1.743407895,1.666,2.5
2012,10,1.27754573,1.187,2.71
2012,11,5.957560576,3.52,10.25
2012,12,86.04706645,80.623,37.74
2013,1,26.08434159,25.996,9.46
2013,2,15.5832677,15.507,7.03
2013,3,20.04567396,20.077,12.45
2013,4,25.79808823,25.1,10.62
2013,5,9.722516106,9.643,5.19
2013,6,4.739232637,4.659,4.08
2013,7,2.971542236,2.87,2.73
2013,8,1.958214666,1.849,2.95
2013,9,1.329408718,1.225,2.78
2013,10,0.996224761,0.901,2.84
2013,11,0.725760859,0.637,2.99
2013,12,0.618007248,0.494,2.88
2014,1,0.543029179,0.379,3.2
2014,2,9.090587292,5.562,10.74
2014,3,56.19505505,53.337,16.23
2014,4,37.25481874,37.021,8.99
2014,5,13.81478928,13.896,3.93
2014,6,6.395083426,6.334,2.41
2014,7,3.657056001,3.556,2.22
2014,8,2.283080711,2.178,2.26
2014,9,1.499473807,1.409,2.31
2014,10,1.109144231,1.023,2.05
2014,11,0.961989927,0.739,3.18
2014,12,66.47566015,59.379,24.2
2015,1,24.9269534,24.574,6.41
2015,2,27.17197596,26.801,14.03
2015,3,14.69558459,14.629,4.85
2015,4,7.616592609,7.556,3.76
2015,5,5.407935437,5.329,2.97
2015,6,3.442511903,3.354,2.56
2015,7,2.326713338,2.231,2.26
2015,8,1.575736042,1.489,2.33
2015,9,1.083956979,1.01,2.29
2015,10,0.822540647,0.755,2.16
2015,11,0.626237613,0.546,2.43
2015,12,5.633307423,2.722,8.07
2016,1,49.88285902,45.863,26.44
2016,2,42.63412299,42.25,17.47
2016,3,90.28987948,90.272,48.89
2016,4,39.02067044,36.717,16.28
2016,5,23.22799532,24.466,10.42
2016,6,8.404256323,8.776,4.55
2016,7,4.494977492,4.496,2.93
2016,8,2.700144403,2.635,2.67
2016,9,1.727705994,1.653,2.63
2016,10,1.680220854,1.331,6.6
2016,11,7.6600793,4.927,6.64
2016,12,75.2758497,72.622,28
2017,1,68.89582611,68.808,62.14
2017,2,122.6450026,122.65,102.7
2017,3,49.75327451,49.822,35.44
2017,4,59.81125107,59.345,44.64
2017,5,51.68536797,47.875,27.08
2017,6,27.15738311,29.839,12.09
2017,7,7.677882581,8.33,7.43
2017,8,3.491310397,3.468,4.96
2017,9,2.07498666,2.008,3.72
2017,10,1.48035717,1.39,3.65
2017,11,10.40222192,7.884,9.29
2017,12,18.56029685,16.384,5.92
2018,1,28.36581709,27.301,13.61
2018,2,22.68099691,22.41,7.33
2018,3,50.35458752,49.543,30.97
2018,4,76.53722656,76.442,23.75
2018,5,19.84414668,20.424,8.16
2018,6,7.658036307,7.735,4.21
2018,7,4.247015772,4.207,3.08
2018,8,2.575521445,2.505,3.55
2018,9,1.66116259,1.59,2.93
2018,10,1.215642857,1.14,2.46
2018,11,0.97284701,0.856,3.78
2018,12,4.127792182,2.32,5.47
2019,1,44.48271617,41.571,20.7
2019,2,50.53495515,49.619,38
2019,3,65.79230613,65.443,42.76
2019,4,83.57296533,82.844,39.81
2019,5,75.83542717,72.166,26.85
2019,6,60.96796798,59.419,13.58
2019,7,24.68544172,27.683,6.17
2019,8,6.995170643,7.861,4.78
2019,9,3.519503784,3.536,4.31
2019,10,2.264956385,2.212,3.59
2019,11,1.551336785,1.473,3.7
2019,12,13.58629443,11.58,13.01
2020,1,17.67664135,17.013,10.59
2020,2,20.82250978,20.742,6.73
2020,3,18.81292829,18.105,7.48
2020,4,28.13148509,26.928,12.37
2020,5,32.11416596,33.125,9.06
2020,6,14.06304287,14.435,4.17
2020,7,6.426137012,6.417,2.84
2020,8,3.536343933,3.456,2.69
2020,9,2.167797187,2.078,2.48
2020,10,1.533154102,1.443,2.73
2020,11,1.131412927,1.022,2.69
2020,12,0.9738977,0.746,4.38
2021,1,2.062903775,0.798,6.02
2021,2,8.159563402,5.885,8.2
2021,3,16.27339281,15.503,7.37
2021,4,32.46976455,29.486,6.88
2021,5,20.47409088,20.845,4.31
2021,6,7.076131779,7.177,2.76
2021,7,3.805260994,3.762,2.16
2021,8,2.315506024,2.249,1.82
2021,9,1.507032899,1.44,2.31
